step,loss,elapsed_s
1,5.468018054962158,0.36519765853881836
2,4.644019603729248,0.7436902523040771
3,4.445670127868652,1.1079816818237305
4,4.1886677742004395,1.4365923404693604
5,3.984870672225952,1.8271832466125488
6,3.9672205448150635,2.15569806098938
7,4.017135143280029,2.508026123046875
8,3.902249574661255,2.8267829418182373
9,4.112884998321533,3.161858081817627
10,4.464232921600342,3.503148317337036
11,4.1072258949279785,3.8243660926818848
12,3.6792185306549072,4.144156455993652
13,3.7393276691436768,4.469616889953613
14,4.111977577209473,4.805471181869507
15,3.905258893966675,5.154872417449951
16,3.615894317626953,5.5043861865997314
17,3.846849203109741,5.858161926269531
18,4.019049167633057,6.209637403488159
19,3.640456438064575,6.598996639251709
20,3.6449134349823,7.1067564487457275
21,3.5982182025909424,7.5095298290252686
22,3.6628828048706055,7.859360218048096
23,3.6904752254486084,8.401177167892456
24,3.7112467288970947,8.902157306671143
25,3.419597864151001,9.317670822143555
26,3.45127272605896,9.816482782363892
27,3.485616445541382,10.172466278076172
28,3.730783462524414,10.609046220779419
29,3.690063238143921,11.010777473449707
30,3.7482852935791016,11.367397785186768
31,3.545708417892456,11.703887701034546
32,3.5202057361602783,12.040003061294556
33,4.08452033996582,12.403140783309937
34,3.889294385910034,12.73024606704712
35,3.8016281127929688,13.126104593276978
36,3.3851852416992188,13.495756149291992
37,3.498819351196289,13.827110528945923
38,3.3623781204223633,14.16385531425476
39,3.266604423522949,14.528531312942505
40,4.516109466552734,14.870837450027466
41,3.5678255558013916,15.231881856918335
42,3.686398506164551,15.57262396812439
43,3.5090768337249756,15.92259168624878
44,3.72712779045105,16.252800941467285
45,3.3946635723114014,16.595330953598022
46,3.5482702255249023,16.943260431289673
47,3.4620277881622314,17.29795742034912
48,3.4610702991485596,17.701895713806152
49,3.2606000900268555,18.065635442733765
50,3.3590517044067383,18.407549142837524
51,3.4879186153411865,18.747103929519653
52,3.6485166549682617,19.145638942718506
53,3.2239482402801514,19.496346950531006
54,3.4356777667999268,19.820767402648926
55,3.4097225666046143,20.149805545806885
56,3.1226303577423096,20.493924856185913
57,3.530503988265991,20.824061155319214
58,3.522531747817993,21.209356546401978
59,3.13451886177063,21.595025777816772
60,3.5074751377105713,21.933735370635986
61,3.1901309490203857,22.26568055152893
62,3.633608818054199,22.631895542144775
63,3.2012386322021484,22.955936431884766
64,3.7407467365264893,23.311516523361206
65,3.3774731159210205,23.640599727630615
66,3.406101942062378,23.96899724006653
67,3.388538122177124,24.322674036026
68,3.0782899856567383,24.699835538864136
69,3.061248540878296,25.164817810058594
70,3.3816778659820557,25.64508295059204
71,4.107449531555176,25.96955370903015
72,3.563854455947876,26.3191921710968
73,3.3219430446624756,26.632533073425293
74,3.7132065296173096,27.028700828552246
75,3.1099612712860107,27.433040380477905
76,3.42958664894104,27.843186616897583
77,3.66013240814209,28.225422620773315
78,3.2900607585906982,28.63146471977234
79,3.2787036895751953,29.046846389770508
80,3.022549867630005,29.425777435302734
